time,incorrect_classification
28.160000,0.9
26.520000,0.933333
22.490000,1.06667
18.740000,1.46667
17.970000,3.03333
16.800000,3.1
15.740000,3.23333
13.560000,4.96667
13.310000,10.3667
9.830000,15.2667
8.590000,27.7667
7.970000,36.5333
7.580000,47.2667
5.720000,50
