time,incorrect_classification,parameters,pareto_optimal,notes
34.7629,0.9,0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 1 1 1 0 0 1 1 1 2 31 0 0 1 1 0 0 0 0 0,0,ORIGINAL
24.740000,0.866667,0 0 0 0 0 1 0 1 0 1 1 0 4 1 0 1 0 2 2 2 1 0 2 2 6 1 0 0 0 2 1 0 0 1 1 0 0 1 1 1 1 31 0 0 1 0 0 0 0 0 0,1,
23.880000,0.9,0 0 0 0 0 1 0 1 0 1 1 0 4 1 0 1 0 2 2 2 1 0 2 2 8 1 0 0 0 2 1 0 0 1 1 0 0 1 1 1 1 35 0 0 1 0 0 0 0 0 0,1,
16.950000,0.933333,0 0 0 0 0 1 0 1 2 1 1 0 4 1 0 1 0 2 2 2 1 0 2 2 6 1 0 0 0 2 1 0 0 1 1 2 0 1 1 1 0 31 0 0 1 0 0 0 0 0 0,1,
9.210000,3.53333,0 0 0 0 0 1 0 1 2 1 1 0 4 1 0 1 0 2 2 2 1 0 2 2 6 0 0 0 0 1 1 0 1 1 1 2 0 0 1 2 0 31 0 0 1 0 0 0 0 0 0,1,
7.180000,16.6333,0 0 0 0 0 1 2 1 2 1 1 0 4 2 0 1 0 2 2 2 1 0 2 2 7 1 0 0 1 2 1 8 1 1 2 2 0 0 1 2 0 31 0 0 1 0 0 0 0 0 5,1,
6.750000,27,0 0 0 0 0 1 2 1 2 1 2 0 4 2 0 1 0 2 2 2 1 0 2 2 7 1 2 0 1 0 1 8 8 1 2 2 0 0 1 2 1 31 0 0 1 0 0 0 0 0 7,1,
6.680000,41.7667,0 0 0 0 0 1 0 1 2 0 2 0 4 2 0 1 0 3 2 2 1 0 2 2 7 0 0 0 1 0 1 7 8 1 2 2 0 0 1 2 2 31 0 0 1 0 0 0 0 0 0,1,
6.610000,48.5333,0 0 0 0 0 1 0 1 2 0 2 0 4 2 0 1 0 3 0 2 1 0 2 2 7 1 0 0 1 0 1 7 8 1 2 2 0 0 0 2 2 31 0 0 1 0 0 0 0 0 0,1,
5.730000,50,0 0 0 0 0 0 2 1 0 0 25 0 0 1 0 1 0 1 2 2 2 0 1 1 8 1 2 0 10 1 2 0 8 1 1 2 0 1 1 5 1 35 3 0 1 0 0 0 0 0 0,1,
